folder_name,category,source
abasiyanik2021_sars_cov2_saliva_detection,Clinical_Diagnostics_Newborn_Screening,keyword
abasiyanik_dpla_ddpcr_septic_shock,PCR_NucleicAcid,keyword
ACCESS_Magnetofluidic_MOB_qPCR,RNA_Sequencing_Epigenomics,metadata
ACE_Crispr_RAF1_Sorafenib,CRISPR_Based_Diagnostics,keyword
Aerosol_ion_detection,Aerosol_Environmental,metadata
Aerosol_Sampling,Aerosol_Environmental,metadata
Ahmadi2019_id2m,Chemistry_Synthesis_Purification_MS,keyword
ahmadi_2024_mab_discovery,Cell_Based_Assay,override
Ahmadi_ML_DMF_18FFDG_ofat,Other,unmatched
albayrak_digital_pla_rtddpcr,PCR_NucleicAcid,keyword
Apoptosis,Cell_Based_Assay,metadata
AU_Shih_Wheeler_Bay_Microbioreactor,Device_Fabrication_Protocol_Formalization,keyword
Bcarmen_Cas13_Detection,CRISPR_Based_Diagnostics,metadata
Behavioral_Modeling_of_PCR,PCR_NucleicAcid,metadata
bell_sperm_seq_library_generation,PCR_NucleicAcid,keyword
Biology_Protocols,Device_Fabrication_Protocol_Formalization,keyword
Blood_Plasma_Separation,ELISA_Immunoassay,metadata
CCEP_Reciprocating,Device_Fabrication_Protocol_Formalization,keyword
Cellspot_Multimodal,Aerosol_Environmental,metadata
chen_concentrator_droplet_mmp_assay,Chemistry_Synthesis_Purification_MS,keyword
choi_dmf_tsh_immunoassay,ELISA_Immunoassay,keyword
Ciprofloxacin,ELISA_Immunoassay,metadata
clelland_pcr_ddpcr,PCR_NucleicAcid,keyword
Cnb_Steroid_Extraction,Extraction_Purification,keyword
Competitive_elisa,ELISA_Immunoassay,metadata
Cortisol_Droplet_ELISA,ELISA_Immunoassay,metadata
CRISPR_MAGE_Droplet,Synthetic_Biology_Genetic_Engineering,keyword
DBS_Succinylacetone,Clinical_Diagnostics_Newborn_Screening,metadata
deng2025_d2_droplet_digital_recovery,Cell_Based_Assay,override
Detection_of_Cardiac_Markers,ELISA_Immunoassay,metadata
Determination_of_Anthocyanin_Content,Phytochemical_Colorimetric_Assay,keyword
Determination_of_Flavonoid_Content,Phytochemical_Colorimetric_Assay,keyword
dettinger_2018_lsim_single_cell,Cell_Based_Assay,keyword
Diazepam,Small_Molecule_Drug,keyword
Digital_Eloha,Other,unmatched
Digital_Isothermal_Cas13a_Assay,CRISPR_Based_Diagnostics,metadata
Direct_elisa,ELISA_Immunoassay,metadata
Distance_Based_Detection_Nucleic_Acid,PCR_NucleicAcid,keyword
DMF_AP_FDP_Enzyme_Assay,Enzyme_Kinetics_Screening,keyword
DMF_Ecoli_Transformation,Synthetic_Biology_Genetic_Engineering,metadata
DMF_Ribozyme_Cleavage,Enzyme_Kinetics_Screening,keyword
DNA_Bisulfite_Conversion,RNA_Sequencing_Epigenomics,keyword
DNA_Ligation,PCR_NucleicAcid,metadata
DNA_Methylomes,RNA_Sequencing_Epigenomics,keyword
Droplet_Antibiotic_MIC_Screen,Antimicrobial_Susceptibility_Testing,keyword
Droplet_Scale_Estrogen,Small_Molecule_Drug,keyword
droplet_volume_measurement_beads,Device_Fabrication_Protocol_Formalization,keyword
Electrowetting_Realtime_Taqman_PCR,PCR_NucleicAcid,metadata
Entrap_Conjugation,Synthetic_Biology_Genetic_Engineering,metadata
Enzymatic_Assay,Enzyme_Kinetics_Screening,keyword
Estimation_of_Ascorbic_Acid_Content,Phytochemical_Colorimetric_Assay,keyword
Estimation_of_DPPH_Free_Radical_Scavenging_Activity,Phytochemical_Colorimetric_Assay,keyword
Estimation_of_Hydrogen_Peroxide,Phytochemical_Colorimetric_Assay,keyword
Estimation_of_Lipid_Peroxides,Phytochemical_Colorimetric_Assay,keyword
Estimation_of_Total_Phenolic_Content,Phytochemical_Colorimetric_Assay,keyword
Estimation_of_Total_Soluble_Sugar,Phytochemical_Colorimetric_Assay,keyword
Estradiol,Small_Molecule_Drug,keyword
EWOD_In_Vitro_Manipulation,Device_Fabrication_Protocol_Formalization,keyword
Exact2_TCA_Incubate,Other,unmatched
Exact_Yeast_Competent_Cells,Synthetic_Biology_Genetic_Engineering,keyword
FDG_Radiosynthesis_ofat,Other,unmatched
Fentanyl,ELISA_Immunoassay,metadata
Flexible_Transparent_Fabrication,Device_Fabrication_Protocol_Formalization,keyword
fobel_paper_dmf_digital_microfluidics,Other,unmatched
Fucosylation_Inhibition_DMF,Chemistry_Synthesis_Purification_MS,keyword
fuller_droplet_on_tape_dot,Device_Fabrication_Protocol_Formalization,keyword
Glucose_Assay,Small_Molecule_Drug,keyword
Glucose_Detection,Small_Molecule_Drug,metadata
Glycosylation,Chemistry_Synthesis_Purification_MS,keyword
heinemann_uNIMS_enzyme_screening,Enzyme_Kinetics_Screening,keyword
Hemagglutination,ELISA_Immunoassay,keyword
Hepatotoxicity,Clinical_Diagnostics_Newborn_Screening,keyword
Heroin,ELISA_Immunoassay,override
hou_2015_dff_bacteremia,Oncology_Cell_Pathology,keyword
hou_margination_pathogen_removal_blood,Other,unmatched
Human_Physiological_Fluids,Clinical_Diagnostics_Newborn_Screening,keyword
Human_Plasma_Protein_Depletion,Extraction_Purification,keyword
Husser_AIMS_Induction_BGL_SynBio,Synthetic_Biology_Genetic_Engineering,keyword
Immunocytochemistry_Single_Cells,Cell_Based_Assay,metadata
Immunoprecipitation,Immunoprecipitation,metadata
Indirect_elisa,ELISA_Immunoassay,metadata
Integrated_Mfselex,Aptamer_Selection_SELEX,keyword
