folder_name,category,source
jebrail_combinatorial_peptidomimetics_dmf,Chemistry_Synthesis_Purification_MS,keyword
jebrail_dmf_evaporation_mgmt,Device_Fabrication_Protocol_Formalization,keyword
jebrail_dmf_protein_precipitation,Extraction_Purification,keyword
Jebrail_DMF_Proteomic_Processing,Omics_Proteomics,keyword
jebrail_macrocycle_dmf,Chemistry_Synthesis_Purification_MS,keyword
jebrail_world_to_dmf_rna_extraction,Extraction_Purification,keyword
junkin_single_cell_immune_dynamics,Cell_Based_Assay,keyword
junkin_tay_singlecell_immune,Cell_Based_Assay,keyword
kellogg_microfluidic_singlecell_pipeline,Cell_Based_Assay,keyword
kellogg_nfkb_digital_signaling,Cell_Based_Assay,keyword
kellogg_nfkb_tlr_nonintegrative,Cell_Based_Assay,keyword
khoo_ctc_liquid_biopsy_drug_screening,Oncology_Cell_Pathology,keyword
khoo_ctc_microfluidic_cluster,Oncology_Cell_Pathology,keyword
kim2013_ngs_library_prep_dmf,PCR_NucleicAcid,keyword
kim_icp_multistage_brine_desalination,Chemistry_Synthesis_Purification_MS,keyword
kim_immunomodulator_hts,Chemistry_Synthesis_Purification_MS,keyword
ko_multiplexed_nanofluidic_concentration_immunoassay,ELISA_Immunoassay,keyword
kwak_icp_continuous_flow_concentrator,Chemistry_Synthesis_Purification_MS,keyword
kwon_microfluidic_cell_retention_perfusion,Cell_Based_Assay,keyword
lafreniere_attractive_design_dmf_spe,Extraction_Purification,keyword
Leal_Alves_Multiplex_Sorter_Strain_Development,Synthetic_Biology_Genetic_Engineering,keyword
lee_nafion_proteomic_preconcentrator,Chemistry_Synthesis_Purification_MS,keyword
Lengen_Lentiviral,Synthetic_Biology_Genetic_Engineering,keyword
lin2019_udpla_single_cell_protein_mrna,Cell_Based_Assay,keyword
Loop_Mediated_Isothermal_Amplification,PCR_NucleicAcid,metadata
Lysosomal_Storage_Disease,Clinical_Diagnostics_Newborn_Screening,metadata
Mage_Electrotransformation,Synthetic_Biology_Genetic_Engineering,keyword
Mammalian_Cell_Culture_Platform,Cell_Based_Assay,metadata
matthews_organoid_organoid_id,Cell_Based_Assay,keyword
Maximize_Diagnostic_Tests,Clinical_Diagnostics_Newborn_Screening,keyword
mei_dmf_plasma_protein_depletion,Extraction_Purification,keyword
mercadovasquez_ultrashort_macrophage_nfkb,Cell_Based_Assay,keyword
Microbial_Electroporation,Synthetic_Biology_Genetic_Engineering,keyword
miller_dmf_immunoassay,ELISA_Immunoassay,keyword
Minute_Mammalian_Tissue,Omics_Proteomics,metadata
Moazami_World_to_Chip_DMF,Device_Fabrication_Protocol_Formalization,keyword
Mobile_uMD_Duplex_dELISA,ELISA_Immunoassay,metadata
Morphine,ELISA_Immunoassay,metadata
mousa_dmf_estrogen_extraction,Extraction_Purification,keyword
Mselex_Aptamer_Selection,Aptamer_Selection_SELEX,metadata
Multiplex_Newborn_Screening,Clinical_Diagnostics_Newborn_Screening,metadata
NADH_Oxidoreductase,Omics_Proteomics,keyword
Nance_Horan_Syndrome,Cell_Based_Assay,metadata
ng2012_dmf_immunoassay,ELISA_Immunoassay,keyword
ng2015_DISC_dmf,RNA_Sequencing_Epigenomics,keyword
ng2015_dmf_rubella_immunoassay,ELISA_Immunoassay,keyword
ng_dmf_immunoassay_disc,ELISA_Immunoassay,keyword
northen_nims_mass_spectrometry,Chemistry_Synthesis_Purification_MS,keyword
Nucleic_Acid_Amplification,PCR_NucleicAcid,keyword
Nucleic_Acid_Diagnostics,PCR_NucleicAcid,metadata
Nucleosome_Immunoprecipitation,Immunoprecipitation,metadata
Omics,Cell_Based_Assay,metadata
Oxycodone,ELISA_Immunoassay,metadata
Particle_Based_Immunoassays,ELISA_Immunoassay,metadata
patel_dropgenie_dmf_crispr_screen,CRISPR_Based_Diagnostics,keyword
patel_nfkb_computer_vision_single_cell,Cell_Based_Assay,keyword
PCR,PCR_NucleicAcid,keyword
Peptidisc_MSBA,Other,unmatched
phan_fdseq_pfa_scrna,PCR_NucleicAcid,keyword
Picoliter_DNA_Sequencing,Device_Fabrication_Protocol_Formalization,keyword
Picoliter_Droplet_Manipulation,Device_Fabrication_Protocol_Formalization,keyword
Pipette_DDPCR,PCR_NucleicAcid,metadata
Plasma_Metabolomics,Omics_Proteomics,metadata
Point_Care_Testing,ELISA_Immunoassay,metadata
Porous_Polymer_Monoliths,Extraction_Purification,keyword
Protein_Extraction_Precipitation,Extraction_Purification,metadata
Protein_Maldi_Stamping,Omics_Proteomics,metadata
Proteomic_Processing,Omics_Proteomics,keyword
Pyrosequencing,PCR_NucleicAcid,metadata
ramshani_ev_mirna_integrated_microfluidics,RNA_Sequencing_Epigenomics,keyword
Respiratory_RTQPCR,PCR_NucleicAcid,keyword
Rubella_Infection_Detection,ELISA_Immunoassay,metadata
Samlali_Hybrid_Microfluidics_Isoclone,Chemistry_Synthesis_Purification_MS,keyword
Sandwich_elisa,ELISA_Immunoassay,metadata
sarkar_microfluidic_probe_singlecell_analysis,Cell_Based_Assay,keyword
SARS_Cov2_QPCR,Clinical_Diagnostics_Newborn_Screening,keyword
schuster_organoid_drug_screening,Cell_Based_Assay,keyword
schwarz_chemokine_migration_microfluidics,Chemistry_Synthesis_Purification_MS,keyword
shamsi_dmf_ecl_mirna,RNA_Sequencing_Epigenomics,keyword
Shih_Algae_Lipid_DMF_Screen,Other,unmatched
Shih_DBS_DMF_Nesi_MS,Other,unmatched
Shih_DMF_Cell_Impedance_Sensing,Aerosol_Environmental,keyword
Shih_Versatile_DMF_Synbio,Synthetic_Biology_Genetic_Engineering,keyword
Single_Cell_Analysis_and_Sorting,Cell_Based_Assay,metadata
Single_Molecule_Array_Assay,ELISA_Immunoassay,metadata
smitha_pillai_scadpl_breast_cancer,Oncology_Cell_Pathology,keyword
son2023_coculture_spatiotemporal,Cell_Based_Assay,keyword
son_nfkb_dose_differentiation,Cell_Based_Assay,keyword
son_nfkb_stimulus_dynamics,Cell_Based_Assay,keyword
son_spatiotemporal_nfkb_microfluidics,Cell_Based_Assay,keyword
tay_nfkb_signaling_dynamic_range,Cell_Based_Assay,keyword
Titration_Open_Surface,Dilution,metadata
TNT_Explosive_Detection,Clinical_Diagnostics_Newborn_Screening,metadata
TriDrop_Electroporation,Synthetic_Biology_Genetic_Engineering,keyword
Tridrop_Transfection,Synthetic_Biology_Genetic_Engineering,keyword
TSH_Immunoassay,ELISA_Immunoassay,metadata
vc0005_aav_ddpcr_quantification,PCR_NucleicAcid,keyword
venturelli_gut_microbiome_glv,Cell_Based_Assay,keyword
vistain_proxseq_10x,RNA_Sequencing_Epigenomics,keyword
vistain_proxseq_nature_methods_2022,RNA_Sequencing_Epigenomics,keyword
wang2025_macrophage_memory,Cell_Based_Assay,keyword
wang_2d_ief_cge_protein_separation,Chemistry_Synthesis_Purification_MS,keyword
wang_nfkb_sequential_stimulation,Cell_Based_Assay,keyword
wang_sproxseq_germinal_center,RNA_Sequencing_Epigenomics,keyword
warkiani_malaria_inertial_microfluidics,Oncology_Cell_Pathology,keyword
warkiani_membraneless_microfiltration,Extraction_Purification,keyword
warkiani_spiral_ctc_enrichment,Oncology_Cell_Pathology,keyword
warkiani_spiral_ctc_isolation,Oncology_Cell_Pathology,keyword
watson_multilayer_hybrid_microfluidics_dmf,Device_Fabrication_Protocol_Formalization,keyword
watterson_anaerobic_droplet_cultivation,Other,unmatched
watterson_anaerobic_droplet_gut_microbiome,Cell_Based_Assay,keyword
xia_proxseq_computational_prediction,RNA_Sequencing_Epigenomics,keyword
xie_droplet_paired_tag,RNA_Sequencing_Epigenomics,keyword
XPORT_ENTRAP,Synthetic_Biology_Genetic_Engineering,metadata
yang_2011_dmf_spe_ppm,Extraction_Purification,keyword
yin2020_denv_multiplexed_pcr,PCR_NucleicAcid,keyword
zhou_mcf7_deformability_impedance,Oncology_Cell_Pathology,keyword
Zika_Virus_Diagnostic,PCR_NucleicAcid,keyword
